uniquename	name	genus	species
FBte0000951	Draj\Tirant	Drosophila	rajasekari
FBte0000491	Dyak\412	Drosophila	yakuba
FBte0000659	Dvir\flea	Drosophila	virilis
FBte0000453	Dneb\gypsy	Drosophila	nebulosa
FBte0000534	Dant\INE-1	Drosophila	antillea
FBte0000622	TRAM-Dmir-like	Drosophila	melanogaster
FBte0000454	Dore\gypsy	Drosophila	orena
FBte0000447	Dwil\hobo	Drosophila	willistoni
FBte0000192	Uhu	Drosophila	melanogaster
FBte0000914	Dmir\picard	Drosophila	miranda
FBte0000644	Dsim\coral	Drosophila	simulans
FBte0000646	Dtol\gypsy	Drosophila	tolteca
FBte0000389	Dcor\F-element	Drosophila	cordata
FBte0000482	Dnar\412	Drosophila	narragansett
FBte0000442	Dkik\hobo	Drosophila	kikkawai
FBte0000647	Dvir\Dv	Drosophila	virilis
FBte0000637	Dsim\gypsy	Drosophila	simulans
FBte0000108	Dlit\Bari1	Drosophila	littoralis
FBte0000624	Dsub\gypsy	Drosophila	subobscura
FBte0000414	HB	Drosophila	melanogaster
FBte0000461	Derc\mariner	Drosophila	ercepeae
FBte0000325	Dlat\gypsy	Scaptodrosophila	latifasciaeformis
FBte0000326	Dmau\blood	Drosophila	mauritiana
FBte0000915	Dmal\1731	Drosophila	malagassya
FBte0000916	Dnov\Ulysses	Drosophila	novamexicana
FBte0000479	Dpsb\412	Drosophila	pseudoobscura bogotana
FBte0000718	Dtak\R2-element	Drosophila	takahashii
FBte0000462	Dtri\copia	Drosophila	tristis
FBte0000457	Rt1a	Drosophila	melanogaster
FBte0000458	Dazt\Bari1	Drosophila	azteca
FBte0000721	Daur\P-element	Drosophila	auraria
FBte0000633	Deoh\micropia	Drosophila	eohydei
FBte0000109	17.6	Drosophila	melanogaster
FBte0000394	Dper\F-element	Drosophila	persimilis
FBte0000634	Daff\Tirant	Drosophila	affinidisjuncta
FBte0000635	Dnar\P-element	Drosophila	narragansett
FBte0000243	Dsus\I-element	Drosophila	subsilvestris
FBte0000722	Dlar\Bari1	Drosophila	lacteicornis
FBte0000459	Dobs\gypsy	Drosophila	obscura
FBte0000636	Fw3	Drosophila	melanogaster
FBte0000492	Dwil\412	Drosophila	willistoni
FBte0000387	Delp\F-element	Drosophila	elliptica
FBte0000460	Dpse\412	Drosophila	pseudoobscura pseudoobscura
FBte0000667	Dmon\Helena	Drosophila	montana
FBte0000697	Dpuc\P-element	Drosophila	pulchrella
FBte0000698	Dacu\INE-1	Drosophila	acutilabella
FBte0000952	Danc\Minos	Drosophila	anceps
FBte0000203	Dadu\Uhu	Drosophila	adunca
FBte0000638	Dsim\roo	Drosophila	simulans
FBte0000668	Dere\1731	Drosophila	erecta
FBte0000463	Darw\INE-1	Drosophila	arawakana arawakana
FBte0000464	Dmir\TRAM	Drosophila	miranda
FBte0000954	BuT3-Dbuz-like	Drosophila	melanogaster
FBte0000386	Deug\F-element	Drosophila	eugracilis
