uniquename	name	genus	species
FBte0000573	Dbir\Bari1	Drosophila	birchii
FBte0000574	BuT1-Dbuz-like	Drosophila	melanogaster
FBte0000224	Dser\I-element	Drosophila	serrata
FBte0000272	Dvar\R1-element	Drosophila	varians
FBte0000575	Dyak\ninja	Drosophila	yakuba
FBte0000576	Dpsb\copia	Drosophila	pseudoobscura bogotana
FBte0000273	Dstu\F-element	Drosophila	sturtevanti
FBte0000577	Dmau\roo	Drosophila	mauritiana
FBte0000578	Dsal\Bari1	Drosophila	saltans
FBte0000353	Dwil\Vege	Drosophila	willistoni
FBte0000835	Dkoe\gypsy-r	Drosophila	koepferae
FBte0000274	Datr\mariner	Drosophila	atripex
FBte0000176	Dmir\TRIM	Drosophila	miranda
FBte0000068	Dfic\bilbo	Drosophila	ficusphila
FBte0000579	Dfic\copia	Drosophila	ficusphila
FBte0000837	Dgua\mariner	Drosophila	guanche
FBte0000838	Tc1-2	Drosophila	melanogaster
FBte0000275	Dboc\P-element	Drosophila	bocqueti
FBte0000276	Dmei\copia	Drosophila	merina
FBte0000277	Dcur\R1-element	Drosophila	curvispina
FBte0000278	Dsec\blood	Drosophila	sechellia
FBte0000580	Dobs\1731	Drosophila	obscura
FBte0000839	Dsub\mariner	Drosophila	subobscura
FBte0000840	Dpaa\gypsy-like	Drosophila	pavani
FBte0000280	Dfic\F-element	Drosophila	ficusphila
FBte0000281	Dtol\mdg3	Drosophila	tolteca
FBte0000581	Dpat\micropia	Drosophila	parasaltans
FBte0000282	Dema\copia	Drosophila	emarginata
FBte0000283	Dpin\Loa	Drosophila	pinicola
FBte0000285	Dwil\copia	Drosophila	willistoni
FBte0000286	Dele\412	Drosophila	elegans
FBte0000080	Dpsb\bilbo	Drosophila	pseudoobscura bogotana
FBte0000841	Dvir\ZAM	Drosophila	virilis
FBte0000842	Dfla\Ulysses	Drosophila	flavomontana
FBte0000723	Dcar\gypsy	Drosophila	cardini
FBte0000232	Ddav\I-element	Drosophila	davidi
FBte0000287	Dmau\FB	Drosophila	mauritiana
FBte0000582	Bungy-Dhyd-like	Drosophila	melanogaster
FBte0000724	Dbio\Bari1	Drosophila	bicornuta
FBte0000843	Dtri\gypsy	Drosophila	tristis
FBte0000583	Mdoa\Hermes	Musca	domestica
FBte0000584	Dyak\Minos	Drosophila	yakuba
FBte0000048	Dtol\bilbo	Drosophila	tolteca
FBte0000654	Dtol\mdg1	Drosophila	tolteca
FBte0000626	transib1	Drosophila	melanogaster
FBte0000655	Dlit\Helena	Drosophila	littoralis
FBte0000844	Dmau\ZAM	Drosophila	mauritiana
FBte0000521	Ddav\412	Drosophila	davidi
FBte0000656	Dsim\G-element	Drosophila	simulans
FBte0000077	Dana\bilbo	Drosophila	ananassae
FBte0000021	gypsy	Drosophila	melanogaster
FBte0000880	Dhyd\Doc	Drosophila	hydei
FBte0000881	Dmir\P-element	Drosophila	miranda
FBte0000864	Selm\gypsy	Scaptomyza	elmoi
FBte0000266	3S18	Drosophila	melanogaster
FBte0000289	Dnov\Penelope	Drosophila	novamexicana
FBte0000290	G4	Drosophila	melanogaster
FBte0000585	Dtro\1731	Drosophila	tropicalis
FBte0000586	Deur\R2-element	Drosophila	euronotus
FBte0000587	Osvaldo	Drosophila	melanogaster
FBte0000512	Dluc\412	Drosophila	lucipennis
FBte0000247	Dpsb\I-element	Drosophila	pseudoobscura bogotana
FBte0000291	Dvir\U	Drosophila	virilis
FBte0000244	Dsub\I-element	Drosophila	subobscura
FBte0000485	Dmer\412	Drosophila	mercatorum mercatorum
FBte0000292	invader4	Drosophila	melanogaster
FBte0000293	Dimm\micropia	Drosophila	immigrans
FBte0000918	opus	Drosophila	melanogaster
FBte0000436	Dseg\hobo	Drosophila	seguyi
FBte0000590	Deoh\Minos	Drosophila	eohydei
FBte0000591	invader6	Drosophila	melanogaster
FBte0000882	Dsec\mariner	Drosophila	sechellia
FBte0000592	Dgou\Minos	Drosophila	gouveai
FBte0000593	Dmcr\micropia	Drosophila	micromelanica
FBte0000294	Dpuc\mariner	Drosophila	pulchrella
FBte0000295	Dyak\micropia	Drosophila	yakuba
FBte0000296	Dyak\hobo	Drosophila	yakuba
FBte0000297	Dser\412	Drosophila	serrata
FBte0000529	Dsub\412	Drosophila	subobscura
FBte0000480	Dper\412	Drosophila	persimilis
FBte0000298	Dwil\micropia	Drosophila	willistoni
FBte0000299	Dtra\Bari1	Drosophila	triauraria
FBte0000594	Dbif\mdg3	Drosophila	bifasciata
FBte0000252	Dmau\I-element	Drosophila	mauritiana
FBte0000300	Drep\412	Drosophila	repleta
FBte0000301	Dsub\mdg3	Drosophila	subobscura
FBte0000595	Dnov\Bari1	Drosophila	novamexicana
FBte0000596	HeT-A-Dvir-like	Drosophila	melanogaster
FBte0000883	Dstu\Minos	Drosophila	sturtevanti
FBte0000302	Dlar\P-element	Drosophila	lacteicornis
FBte0000689	Dfim\mariner	Drosophila	fima
FBte0000690	G7	Drosophila	melanogaster
FBte0000691	Ddif\Loa	Drosophila	differens
FBte0000303	Dmir\1731	Drosophila	miranda
FBte0000597	Dbir\micropia	Drosophila	birchii
FBte0000598	Dbif\P-element	Drosophila	bifasciata
FBte0000599	Dmir\worf	Drosophila	miranda
FBte0000600	Dtei\gypsy	Drosophila	teissieri
FBte0000601	Dspn\Minos	Drosophila	spenceri
FBte0000602	Dgrs\gypsy	Drosophila	griseolineata
FBte0000603	Rt1b	Drosophila	melanogaster
FBte0000921	Dazt\mdg1	Drosophila	azteca
FBte0000604	Dyak\R2-element	Drosophila	yakuba
FBte0000605	Damb\INE-1	Drosophila	ambigua
FBte0000746	Dpse\R2-element	Drosophila	pseudoobscura pseudoobscura
FBte0000884	roamer-element	Drosophila	melanogaster
FBte0000304	Max-element	Drosophila	melanogaster
FBte0000305	Dmul\Minos	Drosophila	mulleri
FBte0000606	Dmaf\gypsy	Drosophila	maculifrons
FBte0000620	Dyak\INE	Drosophila	yakuba
FBte0000621	Dmoj\INE-1	Drosophila	mojavensis
FBte0000607	Lfen\P-element	Lordiphosa	fenestrarum
FBte0000204	Dadi\Uhu	Drosophila	adiastola
FBte0000222	Dvul\I-element	Drosophila	vulcana
FBte0000953	Dprc\INE-1	Drosophila	procardinoides
FBte0000306	Dfun\micropia	Drosophila	funebris
FBte0000378	Dsim\F-element	Drosophila	simulans
FBte0000307	Dvir\R1-element	Drosophila	virilis
FBte0000071	Dbuz\bilbo	Drosophila	buzzatii
FBte0000608	Ivk	Drosophila	melanogaster
FBte0000308	gypsy5	Drosophila	melanogaster
FBte0000309	Dhyd\R2-element	Drosophila	hydei
FBte0000609	Cele\Tc1	Caenorhabditis	elegans
FBte0000610	Dces\gypsy	Drosophila	cestri
FBte0000611	Dper\mdg1	Drosophila	persimilis
FBte0000310	Dtei\copia	Drosophila	teissieri
FBte0000495	Dval\412	Drosophila	vallismaia
FBte0000311	Dsim\INE-1	Drosophila	simulans
FBte0000313	Dmul\gypsy	Drosophila	mulleri
FBte0000612	Dfum\P-element	Drosophila	fumipennis
FBte0000314	frogger	Drosophila	melanogaster
FBte0000315	Dsec\hobo	Drosophila	sechellia
FBte0000613	Dnet\R2-element	Drosophila	neotestacea
FBte0000669	Dbuz\blanco	Drosophila	buzzatii
FBte0000316	Dsub\P-element	Drosophila	subobscura
FBte0000317	Dsal\1731	Drosophila	saltans
FBte0000094	Dsim\jockey	Drosophila	simulans
FBte0000318	Dwil\R2-element	Drosophila	willistoni
FBte0000319	Zspi\mariner	Zaprionus	spinipilus
FBte0000320	Dana\gypsy	Drosophila	ananassae
FBte0000542	Duns\Gandalf	Drosophila	uniseta
FBte0000321	Dkan\Ulysses	Drosophila	kanekoi
FBte0000323	looper1	Drosophila	melanogaster
FBte0000327	Dbif\copia	Drosophila	bifasciata
FBte0000328	Damb\Bari1	Drosophila	ambigua
FBte0000329	Dins\gypsy	Drosophila	insularis
FBte0000330	Dsim\Tirant	Drosophila	simulans
FBte0000922	Dpro\P-element	Drosophila	prosaltans
FBte0000614	Dsub\Udre-812	Drosophila	subobscura
FBte0000331	Dsri\gypsy	Drosophila	serido
FBte0000332	Dbuz\BuT1	Drosophila	buzzatii
FBte0000333	springer	Drosophila	melanogaster
FBte0000334	Dame\TART-element	Drosophila	americana americana
FBte0000923	Lefka	Drosophila	melanogaster
FBte0000489	Dazt\412	Drosophila	azteca
FBte0000615	Dmer\gypsy	Drosophila	mercatorum mercatorum
FBte0000398	Dazt\F-element	Drosophila	azteca
FBte0000616	Circe	Drosophila	melanogaster
FBte0000336	Dpla\Loa	Drosophila	planitibia
FBte0000337	Dpau\1731	Drosophila	paulistorum
FBte0000762	Damb\R2-element	Drosophila	ambigua
FBte0000885	transib2	Drosophila	melanogaster
FBte0000886	Dyak\TART-element	Drosophila	yakuba
FBte0000338	mariner-like	Drosophila	melanogaster
FBte0000339	Dbuz\BuT2	Drosophila	buzzatii
FBte0000250	Dnar\I-element	Drosophila	narragansett
FBte0000340	Dmau\Doc	Drosophila	mauritiana
FBte0000342	Dsim\Bari1	Drosophila	simulans
FBte0000619	invader3	Drosophila	melanogaster
FBte0000238	Dana\I-element	Drosophila	ananassae
FBte0000497	Dtei\412	Drosophila	teissieri
FBte0000887	Dluc\copia	Drosophila	lucipennis
FBte0000924	Dprs\R1-element	Drosophila	prostipennis
FBte0000237	Dath\I-element	Drosophila	athabasca
FBte0000343	mariner-Dmau-like	Drosophila	melanogaster
FBte0000670	hopper	Drosophila	melanogaster
FBte0000254	Dbif\I-element	Drosophila	bifasciata
FBte0000888	Dsim\mariner	Drosophila	simulans
FBte0001128	G5	Drosophila	melanogaster
FBte0000344	Dyak\ZAM	Drosophila	yakuba
FBte0000672	Dkik\ZAM	Drosophila	kikkawai
FBte0000889	Dbia\P-element	Drosophila	biauraria
FBte0000059	Dnan\bilbo	Drosophila	nannoptera
FBte0000868	Dsec\gypsy	Drosophila	sechellia
FBte0000890	Dbuz\BuT4	Drosophila	buzzatii
FBte0000345	Dere\R1-element	Drosophila	erecta
FBte0000346	Dgua\copia	Drosophila	guanche
FBte0000347	Dper\Bari1	Drosophila	persimilis
FBte0000348	Ddav\mariner	Drosophila	davidi
FBte0000349	Dmat\P-element	Drosophila	malerkotliana
FBte0000673	Dpse\R1-element	Drosophila	pseudoobscura pseudoobscura
FBte0000674	Dmau\297	Drosophila	mauritiana
FBte0000350	Dsus\mariner	Drosophila	subsilvestris
FBte0000351	gypsy10	Drosophila	melanogaster
FBte0000352	Dneb\Vege	Drosophila	nebulosa
FBte0000110	Dsim\17.6	Drosophila	simulans
FBte0000891	Dbuz\copia	Drosophila	buzzatii
FBte0000354	Dnic\micropia	Drosophila	nigricruria
FBte0000246	Dsec\I-element	Drosophila	sechellia
FBte0000355	Dsim\R1-element	Drosophila	simulans
FBte0000356	Dbii\mariner	Drosophila	biarmipes
FBte0000357	invader1	Drosophila	melanogaster
FBte0000892	Dwil\Mar	Drosophila	willistoni
FBte0000893	Scythian	Drosophila	melanogaster
FBte0000894	Dstu\1731	Drosophila	sturtevanti
FBte0000358	Dgua\P-element	Drosophila	guanche
FBte0000359	GATE	Drosophila	melanogaster
FBte0000360	Dsqu\R1-element	Drosophila	subquinaria
FBte0000361	Dtei\ZAM	Drosophila	teissieri
FBte0000895	Dpau\copia	Drosophila	paulistorum
FBte0000362	Dsii\INE-1	Drosophila	similis similis
FBte0000230	Deug\I-element	Drosophila	eugracilis
FBte0000475	Dvir\gypsy	Drosophila	virilis
FBte0000476	Dpav\P-element	Drosophila	pavlovskiana
FBte0000477	Kepler-Dbuz-like	Drosophila	melanogaster
FBte0000007	412	Drosophila	melanogaster
FBte0000363	Dneb\P-element	Drosophila	nebulosa
FBte0000364	RT1-like	Drosophila	melanogaster
FBte0000365	Dssa\Minos	Drosophila	subsaltans
FBte0000366	Dana\F-element	Drosophila	ananassae
FBte0000367	Dmal\mariner	Drosophila	malagassya
FBte0000676	Dsim\INE	Drosophila	simulans
FBte0000677	Lmag\P-element	Lordiphosa	magnipectinata
FBte0000678	Dezo\Ulysses	Drosophila	ezoana
FBte0000896	Dtri\P-element	Drosophila	tristis
FBte0000075	Dath\bilbo	Drosophila	athabasca
FBte0000897	Dtak\Tirant	Drosophila	takahashii
FBte0000679	Dmlp\gypsy	Drosophila	melanopalpa
FBte0000368	Dsus\412	Drosophila	subsilvestris
FBte0000369	Dmir\Bari1	Drosophila	miranda
FBte0000395	Dnar\F-element	Drosophila	narragansett
FBte0000202	Ddif\Uhu	Drosophila	differens
FBte0000898	Dsri\copia	Drosophila	serido
FBte0000899	Dpse\transib4	Drosophila	pseudoobscura pseudoobscura
FBte0000370	Dmau\copia	Drosophila	mauritiana
FBte0000900	Dema\Bari1	Drosophila	emarginata
FBte0000371	Dere\ZAM	Drosophila	erecta
FBte0000372	Dprl\R1-element	Drosophila	paralutea
FBte0000072	Dbus\bilbo	Drosophila	busckii
FBte0000373	Dgas\gypsy-like	Drosophila	gasici
FBte0000083	Dbif\bilbo	Drosophila	bifasciata
FBte0000755	Dsor\R2-element	Drosophila	sordidula
FBte0000240	Dtri\I-element	Drosophila	tristis
FBte0000005	F-element	Drosophila	melanogaster
FBte0000400	Tom1	Drosophila	melanogaster
FBte0000401	Dmat\mariner	Drosophila	malerkotliana
FBte0000680	Dfic\P-element	Drosophila	ficusphila
FBte0000681	Dere\gypsy	Drosophila	erecta
FBte0000402	Dmau\INE	Drosophila	mauritiana
FBte0000448	Dneo\hobo	Drosophila	neocordata
FBte0000403	Dpst\mariner	Drosophila	pseudotakahashii
FBte0000404	Dsor\Bari1	Drosophila	sordidula
FBte0000682	Dpsb\P-element	Drosophila	pseudoobscura bogotana
FBte0000405	Dobs\mdg3	Drosophila	obscura
FBte0000406	Dkan\Helena	Drosophila	kanekoi
FBte0000407	Dbuz\Newton	Drosophila	buzzatii
FBte0000408	Dmrt\copia	Drosophila	martensis
FBte0000409	Dtol\copia	Drosophila	tolteca
FBte0000410	Dner\micropia	Drosophila	neorepleta
FBte0000683	Dvir\TART-element	Drosophila	virilis
FBte0000684	Dpaa\gypsy	Drosophila	pavani
FBte0000055	Dper\bilbo	Drosophila	persimilis
FBte0000901	Dsim\micropia	Drosophila	simulans
FBte0000411	Dmat\R1-element	Drosophila	malerkotliana
FBte0000412	Dobs\P-element	Drosophila	obscura
FBte0000380	Drob\F-element	Drosophila	robusta
FBte0000413	Dsim\HB	Drosophila	simulans
FBte0000415	Dvir\Paris	Drosophila	virilis
FBte0000417	Dcap\copia	Drosophila	capricorni
FBte0000418	Dput\R1-element	Drosophila	putrida
FBte0000419	Dtei\Minos	Drosophila	teissieri
FBte0000685	Dmir\R1-element	Drosophila	miranda
FBte0000431	Dmau\hobo	Drosophila	mauritiana
FBte0000554	Dhua\Gandalf	Drosophila	huaylasi
FBte0000686	Dcap\Minos	Drosophila	capricorni
FBte0000687	Dtro\P-element	Drosophila	tropicalis
FBte0000420	BS3	Drosophila	melanogaster
FBte0000421	Dpen\Bari1	Drosophila	peninsularis
FBte0000422	Dima\P-element	Drosophila	imaii
FBte0000423	Dtes\R1-element	Drosophila	testacea
FBte0000424	Dvir\GRT-G1-element	Drosophila	virilis
FBte0000426	Dmat\1731	Drosophila	malerkotliana
FBte0000065	Dgua\bilbo	Drosophila	guanche
FBte0000902	Zver\mariner	Zaprionus	verruca
FBte0000903	Dsus\mdg3	Drosophila	subsilvestris
FBte0000904	Dsec\copia	Drosophila	sechellia
FBte0000427	Daff\mariner	Drosophila	affinidisjuncta
FBte0000428	Dazt\mdg3	Drosophila	azteca
FBte0000429	Dwil\Minos	Drosophila	willistoni
FBte0000661	SGM-Dsub-like	Drosophila	melanogaster
FBte0000435	Dtsa\hobo	Drosophila	tsacasi
FBte0000662	Dbuz\Kepler	Drosophila	buzzatii
FBte0000663	Dalg\mdg3	Drosophila	algonquin
FBte0000438	Dqua\hobo	Drosophila	quadraria
FBte0000664	Dkik\P-element	Drosophila	kikkawai
FBte0000665	P-element-Damb-like	Drosophila	melanogaster
FBte0000434	Dvul\hobo	Drosophila	vulcana
FBte0000905	Dluc\mariner	Drosophila	lucipennis
FBte0000906	baggins	Drosophila	melanogaster
FBte0000154	hobo	Drosophila	melanogaster
FBte0000907	Dame\Osvaldo	Drosophila	americana americana
FBte0000908	Zvit\copia	Zaprionus	vittiger
FBte0000909	Dlus\Bari1	Drosophila	lusaltans
FBte0000036	Dvul\P-element	Drosophila	vulcana
FBte0000047	Dyak\bilbo	Drosophila	yakuba
FBte0000038	Dpiv\bilbo	Drosophila	pictiventris
FBte0000040	Dboc\1731	Drosophila	bocqueti
FBte0000041	Dkoe\micropia	Drosophila	koepferae
FBte0000043	Dlie\micropia	Drosophila	limensis
FBte0000044	Tc3	Drosophila	melanogaster
FBte0000039	Dsub\bilbo	Drosophila	subobscura
FBte0000086	Dsim\R2-element	Drosophila	simulans
FBte0000001	diver	Drosophila	melanogaster
FBte0000002	Dneo\1731	Drosophila	neocordata
FBte0000004	Dalg\F-element	Drosophila	algonquin
FBte0000006	Dere\412	Drosophila	erecta
FBte0000008	Dtol\412	Drosophila	tolteca
FBte0000009	Dgua\mdg3	Drosophila	guanche
FBte0000011	Dbuz\ISBu5	Drosophila	buzzatii
FBte0000012	Dafs\1731	Drosophila	affinis
FBte0000013	Dana\412	Drosophila	ananassae
FBte0000014	Dnar\mdg1	Drosophila	narragansett
FBte0000016	Dyak\Helena	Drosophila	yakuba
FBte0000018	TART-Dvir-like	Drosophila	melanogaster
FBte0000019	Dmir\mdg1	Drosophila	miranda
FBte0000020	Dmrt\gypsy	Drosophila	martensis
FBte0000022	Dkoe\copia	Drosophila	koepferae
FBte0000024	Dlit\412	Drosophila	littoralis
FBte0000025	Dbuz\Minos	Drosophila	buzzatii
FBte0000027	Dsta\Gandalf	Drosophila	stalkeri
FBte0000029	Dere\R2-element	Drosophila	erecta
FBte0000031	Ins2	Drosophila	melanogaster
FBte0000032	Dvir\Tv1	Drosophila	virilis
FBte0000033	Dmon\Bari1	Drosophila	montana
FBte0000035	Deug\1731	Drosophila	eugracilis
FBte0000725	transib3	Drosophila	melanogaster
FBte0000508	Dmau\412	Drosophila	mauritiana
FBte0000726	HMS-Beagle	Drosophila	melanogaster
FBte0000728	Dore\ZAM	Drosophila	orena
FBte0000096	Dfun\jockey	Drosophila	funebris
FBte0000440	Dnik\hobo	Drosophila	nikananu
FBte0000729	Dbip\mariner	Drosophila	bipectinata
FBte0000730	Dmea\Bari1	Drosophila	meridiana
FBte0000731	Dmon\Ulysses	Drosophila	montana
FBte0000239	Dyak\I-element	Drosophila	yakuba
FBte0000732	Dmul\micropia	Drosophila	mulleri
FBte0000733	Dafs\Tirant	Drosophila	affinis
FBte0000734	Dsei\Minos	Drosophila	seriema
FBte0000735	Dtak\FB	Drosophila	takahashii
FBte0000736	Docg\mariner	Drosophila	ochrogaster
FBte0000737	Dyak\HeT-A	Drosophila	yakuba
FBte0000738	Dsim\Burdock	Drosophila	simulans
FBte0000740	Dcap\Bari1	Drosophila	capricorni
FBte0000741	Dema\micropia	Drosophila	emarginata
FBte0000742	Drep\gypsy	Drosophila	repleta
FBte0000743	Dful\micropia	Drosophila	fulvimacula
FBte0000744	Dtol\Bari1	Drosophila	tolteca
FBte0000084	Dazt\bilbo	Drosophila	azteca
FBte0000745	Dema\1731	Drosophila	emarginata
FBte0000379	Dsal\F-element	Drosophila	saltans
FBte0000030	R2-element	Drosophila	melanogaster
FBte0000764	gypsy9	Drosophila	melanogaster
FBte0000765	rooA	Drosophila	melanogaster
FBte0000766	Dato\Minos	Drosophila	antonietae
FBte0000767	Dmen\gypsy	Drosophila	melanica
FBte0000768	Dpar\Minos	Drosophila	paranaensis
FBte0000769	Dimm\gypsy	Drosophila	immigrans
FBte0000770	Dban\gypsy	Drosophila	bandeirantorum
FBte0000771	Dpau\Bari1	Drosophila	paulistorum
FBte0000772	Dmir\mdg3	Drosophila	miranda
FBte0000773	Dana\Tom	Drosophila	ananassae
FBte0000774	Dezo\Penelope	Drosophila	ezoana
FBte0000910	Drec\R1-element	Drosophila	recens
FBte0000911	Dsim\1731	Drosophila	simulans
FBte0000445	Ddip\hobo	Drosophila	diplacantha
FBte0000912	Dlut\mariner	Drosophila	lutescens
FBte0000913	Dmat\Bari1	Drosophila	malerkotliana
FBte0000158	Dvir\Penelope	Drosophila	virilis
FBte0000857	Dfic\gypsy	Drosophila	ficusphila
FBte0000970	Dsim\297	Drosophila	simulans
FBte0000971	Dbio\mariner	Drosophila	bicornuta
FBte0000227	Dmal\I-element	Drosophila	malagassya
FBte0000853	Dpin\gypsy	Drosophila	pinicola
FBte0000972	Dsim\Minos	Drosophila	simulans
FBte0000867	Dwil\gypsy	Drosophila	willistoni
FBte0000973	Dmen\Bari1	Drosophila	melanica
FBte0000543	Dstr\Gandalf	Drosophila	straubae
FBte0000974	Tabor	Drosophila	melanogaster
FBte0000975	Damb\R1-element	Drosophila	ambigua
FBte0000050	Dste\bilbo	Drosophila	sternopleuralis
FBte0000976	Dmen\micropia	Drosophila	melanica
FBte0000977	Dafs\mdg1	Drosophila	affinis
FBte0000481	Dpau\412	Drosophila	paulistorum
FBte0000981	Dcar\INE-1	Drosophila	cardini
FBte0000982	Juan	Drosophila	melanogaster
FBte0000717	Dpse\GRT-G1-element	Drosophila	pseudoobscura pseudoobscura
FBte0000983	Dper\mdg3	Drosophila	persimilis
FBte0000984	Helena	Drosophila	melanogaster
FBte0000985	tourist	Drosophila	melanogaster
FBte0000437	Drua\hobo	Drosophila	rufa
FBte0000486	Delp\412	Drosophila	elliptica
FBte0000986	Dlut\Bari1	Drosophila	lutescens
FBte0000987	Dnas\copia	Drosophila	nasuta
FBte0000507	Dmil\412	Drosophila	microlabis
FBte0000058	Dnar\bilbo	Drosophila	narragansett
FBte0000968	Dlum\Penelope	Drosophila	lummei
FBte0000988	Dtei\roo	Drosophila	teissieri
FBte0000989	Dsub\INE-1	Drosophila	subobscura
FBte0000990	Gandalf-Dkoe-like	Drosophila	melanogaster
FBte0000506	Dnag\412	Drosophila	nagarholensis
FBte0000490	Dalg\412	Drosophila	algonquin
FBte0000054	Draj\bilbo	Drosophila	rajasekari
FBte0000991	Dere\mariner	Drosophila	erecta
FBte0000675	297	Drosophila	melanogaster
FBte0000992	Dazt\copia	Drosophila	azteca
FBte0000993	Dbuz\Bari1	Drosophila	buzzatii
FBte0000994	Dalg\copia	Drosophila	algonquin
FBte0000879	Danm\gypsy	Drosophila	annulimana
FBte0000249	Dobs\I-element	Drosophila	obscura
FBte0000995	Dmul\copia	Drosophila	mulleri
FBte0000433	Dere\hobo	Drosophila	erecta
FBte0000996	Dmir\INE-1	Drosophila	miranda
FBte0000385	Dhyd\F-element	Drosophila	hydei
FBte0000487	Ddun\412	Drosophila	duncani
FBte0000092	Dmau\jockey	Drosophila	mauritiana
FBte0000997	Dmer\Bari1	Drosophila	mercatorum mercatorum
FBte0000998	Dast\copia	Drosophila	austrosaltans
FBte0000505	Dneb\412	Drosophila	nebulosa
FBte0000105	Dsim\Idefix	Drosophila	simulans
FBte0000748	Dpas\R2-element	Drosophila	palustris
FBte0000999	Dwhe\Minos	Drosophila	wheeleri
FBte0001000	NEB	Drosophila	melanogaster
FBte0001001	Desk\P-element	Drosophila	eskoi
FBte0000136	Dsub\SGM	Drosophila	subobscura
FBte0000488	Dboa\412	Drosophila	bocainensis
FBte0001002	Fw2	Drosophila	melanogaster
FBte0000376	Dwil\F-element	Drosophila	willistoni
FBte0000335	TART-element	Drosophila	melanogaster
FBte0000846	Dmad\gypsy	Drosophila	madeirensis
FBte0001004	Dvar\mariner	Drosophila	varians
FBte0001005	S-element	Drosophila	melanogaster
FBte0001006	Dbif\Bari1	Drosophila	bifasciata
FBte0000089	Dyak\jockey	Drosophila	yakuba
FBte0000026	Dhyd\Minos	Drosophila	hydei
FBte0001016	Dddu\INE-1	Drosophila	dunni dunni
FBte0001008	Dmau\Minos	Drosophila	mauritiana
FBte0000090	Dtei\jockey	Drosophila	teissieri
FBte0000056	Dpap\bilbo	Drosophila	pallidipennis
FBte0000195	Dpla\Uhu	Drosophila	planitibia
FBte0001017	Dtak\Bari1	Drosophila	takahashii
FBte0000023	copia	Drosophila	melanogaster
FBte0000751	Dtes\R2-element	Drosophila	testacea
FBte0000504	Dnik\412	Drosophila	nikananu
FBte0001028	Bmor\R1-element	Bombyx	mori
FBte0001029	Dgou\micropia	Drosophila	gouveai
FBte0001009	Dboc\Minos	Drosophila	bocqueti
FBte0001030	gypsy3	Drosophila	melanogaster
FBte0001031	Dtex\Helena	Drosophila	americana texana
FBte0000443	Dkha\hobo	Drosophila	khaoyana
FBte0001032	Dpsb\mdg3	Drosophila	pseudoobscura bogotana
FBte0001026	Dobs\copia	Drosophila	obscura
FBte0001033	mariner2	Drosophila	melanogaster
FBte0001034	Dnec\INE-1	Drosophila	neocardini
FBte0000066	Dgau\bilbo	Drosophila	gaucha
FBte0001035	mini-me-Dpse-like	Drosophila	melanogaster
FBte0001015	Dald\Minos	Drosophila	aldrichi
FBte0000550	Dmer\Gandalf	Drosophila	mercatorum mercatorum
FBte0001036	Dmer\R1-element	Drosophila	mercatorum mercatorum
FBte0000555	Dbuz\Gandalf	Drosophila	buzzatii
FBte0001037	Dlit\Ulysses	Drosophila	littoralis
FBte0001038	Dnar\mdg3	Drosophila	narragansett
FBte0001039	Doc4-element	Drosophila	melanogaster
FBte0000514	Djam\412	Drosophila	jambulina
FBte0000256	Dalg\I-element	Drosophila	algonquin
FBte0001040	gypsy2	Drosophila	melanogaster
FBte0001041	gypsy11	Drosophila	melanogaster
FBte0001042	BS4	Drosophila	melanogaster
FBte0001043	Osvaldo-Dbuz-like	Drosophila	melanogaster
FBte0000727	Dsim\HMS-Beagle	Drosophila	simulans
FBte0001044	Hercules	Drosophila	melanogaster
FBte0000969	Dbor\Penelope	Drosophila	borealis
FBte0000322	Dvir\Ulysses	Drosophila	virilis
FBte0000761	Dbuz\R2-element	Drosophila	buzzatii
FBte0000556	Dbrb\Gandalf	Drosophila	borborema
FBte0001058	Dmie\P-element	Drosophila	milleri
FBte0001022	Dfum\copia	Drosophila	fumipennis
FBte0001059	Dbrn\gypsy-like	Drosophila	brncici
FBte0000198	Dorn\Uhu	Drosophila	ornata
FBte0001060	Dqua\P-element	Drosophila	quadraria
FBte0000865	Dzot\gypsy	Drosophila	zottii
FBte0001010	Dari\Minos	Drosophila	arizonae
FBte0000863	Zind\gypsy	Zaprionus	indianus
FBte0000804	Dhet\Loa	Drosophila	heteroneura
FBte0001061	Dtei\Helena	Drosophila	teissieri
FBte0001062	gtwin	Drosophila	melanogaster
FBte0001063	Dluc\P-element	Drosophila	lucipennis
FBte0001064	Dtro\Bari1	Drosophila	tropicalis
FBte0001065	Dsim\Stalker	Drosophila	simulans
FBte0000118	R1-element	Drosophila	melanogaster
FBte0001018	Dtro\copia	Drosophila	tropicalis
FBte0001075	Dlum\Helena	Drosophila	lummei
FBte0001076	Dbuz\INE-1	Drosophila	buzzatii
FBte0001077	Dfun\INE-1	Drosophila	funebris
FBte0001078	Dvir\Bari1	Drosophila	virilis
FBte0000871	Dmed\gypsy	Drosophila	mediopunctata
FBte0000980	Dkik\FB	Drosophila	kikkawai
FBte0001079	Dcai\INE-1	Drosophila	caribiana
FBte0001080	Dbuz\Galileo	Drosophila	buzzatii
FBte0000091	Dore\jockey	Drosophila	orena
FBte0001081	Dvir\INE-1	Drosophila	virilis
FBte0001082	Dsei\micropia	Drosophila	seriema
FBte0001083	Dobs\mdg1	Drosophila	obscura
FBte0001084	invader2	Drosophila	melanogaster
FBte0001055	Dgua\1731	Drosophila	guanche
FBte0001085	Dsim\Helena	Drosophila	simulans
FBte0001023	Dequ\copia	Drosophila	equinoxialis
