DMTHB1,FBte0000414,X01748,Dmel/HB,terminal_inverted_repeat_element
TV1,FBte0000415,Z49253,Dvir/Paris,terminal_inverted_repeat_element
BS3,FBte0000420,nnnnnnnn,Dmel/BS3,non_LTR_retrotransposon
DME278684,FBte0000457,AJ278684,Dmel/Rt1a,non_LTR_retrotransposon
DMTRAM,FBte0000464,Y08905,Dmir/TRAM,LTR_retrotransposon
FB,FBte0000466,X15469,Dmel/NOF,terminal_inverted_repeat_element
STALKER2,FBte0000472,,Dmel/Stalker2,LTR_retrotransposon
DSRN,FBte0000536,D83207,Dsim/ninja,LTR_retrotransposon
HETAVIR,FBte0000538,AY369259,Dvir/HeT-A,non_LTR_retrotransposon
1360,FBte0000559,AC005453,Dmel/1360,terminal_inverted_repeat_element
DMPOGOR11,FBte0000568,X59837,Dmel/pogo,terminal_inverted_repeat_element
OSV,FBte0000587,AY089271,Dmel/Osvaldo,LTR_retrotransposon
DBU133521,FBte0000588,AJ133521,Dbuz/Osvaldo,LTR_retrotransposon
INVADER6,FBte0000591,NT_033778,Dmel/invader6,LTR_retrotransposon
WORF,FBte0000599,AY144572,Dmir/worf,non_LTR_retrotransposon
RT1B,FBte0000603,AC005734,Dmel/Rt1b,non_LTR_retrotransposon
IVK,FBte0000608,nnnnnnnn,Dmel/Ivk,non_LTR_retrotransposon
CIRC,FBte0000616,nnnnnnnn,Dmel/Circe,LTR_retrotransposon
INVADER3,FBte0000619,nnnnnnnn,Dmel/invader3,LTR_retrotransposon
TRANSIB1,FBte0000626,nnnnnnnn,Dmel/transib1,terminal_inverted_repeat_element
FW3,FBte0000636,nnnnnnnn,Dmel/Fw3,non_LTR_retrotransposon
QUASIMODO,FBte0000640,AF364550,Dmel/Quasimodo,LTR_retrotransposon
DVRPPDV,FBte0000647,X03936,Dvir/Dv,transposable_element
DMREPG,FBte0000657,X06950,Dmel/G-element,non_LTR_retrotransposon
DMBLPP,FBte0000660,Z27119,Dmel/flea,LTR_retrotransposon
KEPLER,FBte0000662,AF368884,Dbuz/Kepler,foldback_element
RT1C,FBte0000666,nnnnnnnn,Dmel/Rt1c,non_LTR_retrotransposon
DMTRDNA,FBte0000670,X80025,Dmel/hopper,terminal_inverted_repeat_element
DMIS297,FBte0000675,X03431,Dmel/297,LTR_retrotransposon
TARTVIR,FBte0000683,AY219709,Dvir/TART-element,non_LTR_retrotransposon
GYPSY4,FBte0000688,nnnnnnnn,Dmel/gypsy4,LTR_retrotransposon
G7,FBte0000690,AC003788,Dmel/G7,non_LTR_retrotransposon
ROVER,FBte0000692,AF492764,Dmel/rover,LTR_retrotransposon
S2,FBte0000709,nnnnnnnn,Dmel/S2,terminal_inverted_repeat_element
R1-2,FBte0000720,nnnnnnnn,Dmel/R1-2,non_LTR_retrotransposon
TRANSIB3,FBte0000725,nnnnnnnn,Dmel/transib3,terminal_inverted_repeat_element
Beagle,FBte0000726,AF365402,Dmel/HMS-Beagle,LTR_retrotransposon
YAKHETA,FBte0000737,AF043258,Dyak/HeT-A,non_LTR_retrotransposon
DMU89994,FBte0000739,U89994,Dmel/Burdock,LTR_retrotransposon
GYPSY9,FBte0000764,AE002591,Dmel/gypsy9,LTR_retrotransposon
ROOA_LTR,FBte0000765,,Dmel/rooA,LTR_retrotransposon
DNTOMRETA,FBte0000773,Z24451,Dana/Tom,LTR_retrotransposon
BS,FBte0000780,nnnnnnnn,Dmel/BS,non_LTR_retrotransposon
DOC5,FBte0000791,nnnnnnnn,Dmel/Porto1,non_LTR_retrotransposon
ISBU2,FBte0000793,AF368867,Dbuz/ISBu2,terminal_inverted_repeat_element
