# submitted_id	current_id	converted_id	current_symbol
FBgn0011601	FBte0000017	FBte0000017	Dvir\Helena
FBgn0067418	FBte0000170	FBte0000170	Helitron
FBgn0063433	FBte0000688	FBte0000688	gypsy4
FBgn0063575	FBte0000339	FBte0000339	Dbuz\BuT2
FBgn0063534	FBte0000103	FBte0000103	Doc2-element
FBgn0067460	FBte0000291	FBte0000291	Dvir\U
FBgn0014967	FBte0000670	FBte0000670	hopper
FBgn0067405	FBte0000720	FBte0000720	R1-2
FBgn0063505	FBte0000290	FBte0000290	G4
FBgn0066140	FBte0000353	FBte0000353	Dwil\Vege
FBgn0020218	FBte0000823	FBte0000823	Damb\P-element
FBgn0010302	FBte0000739	FBte0000739	Burdock
FBgn0000652	FBte0000005	FBte0000005	F-element
FBgn0063533	FBte0001140	FBte0001140	Doc3-element
FBgn0063428	FBte0000619	FBte0000619	invader3
FBgn0001181	FBte0000414	FBte0000414	HB
FBgn0067421	FBte0001002	FBte0001002	Fw2
FBgn0063900	FBte0000124	FBte0000124	Q-element
FBgn0005661	FBte0000284	FBte0000284	Dsil\Loa
FBgn0044355	FBte0000640	FBte0000640	Quasimodo
FBgn0067383	FBte0000168	FBte0000168	gypsy8
FBgn0063430	FBte0000357	FBte0000357	invader1
FBgn0026065	FBte0000104	FBte0000104	Idefix
FBgn0061485	FBte0000692	FBte0000692	rover
FBgn0002698	FBte0000010	FBte0000010	mdg3
FBgn0002697	FBte0000015	FBte0000015	mdg1
FBgn0012207	FBte0000598	FBte0000598	Dbif\P-element
FBgn0000004	FBte0000109	FBte0000109	17.6
FBgn0005772	FBte0000464	FBte0000464	Dmir\TRAM
FBgn0001207	FBte0000726	FBte0000726	HMS-Beagle
FBgn0063467	FBte0000666	FBte0000666	Rt1c
FBgn0015168	FBte0000536	FBte0000536	Dsim\ninja
FBgn0063394	FBte0000765	FBte0000765	rooA
FBgn0020486	FBte0000962	FBte0000962	Ddip\Bari1
FBgn0063573	FBte0000890	FBte0000890	Dbuz\BuT4
