# submitted_id	current_id	converted_id	current_symbol
FBte0000662	FBte0000662	FBte0000662	Dbuz\Kepler
FBte0000039	FBte0000039	FBte0000039	Dsub\bilbo
FBte0000823	FBte0000823	FBte0000823	Damb\P-element
FBte0000028	FBte0000028	FBte0000028	Dkoe\Gandalf
FBte0001071	FBte0001071	FBte0001071	Dtak\R1-element
FBte0001207	FBte0001207	FBte0001207	TART-B
FBte0000030	FBte0000030	FBte0000030	R2-element
FBte0000420	FBte0000420	FBte0000420	BS3
FBte0000023	FBte0000023	FBte0000023	copia
FBte0000139	FBte0000139	FBte0000139	Dbuz\ISBu3
FBte0000140	FBte0000140	FBte0000140	Cr1a
FBte0000927	FBte0000927	FBte0000927	Tc1
FBte0000171	FBte0000171	FBte0000171	gypsy7
FBte0001157	FBte0001157	FBte0001157	Stalker3
FBte0000102	FBte0000102	FBte0000102	Dmau\mariner
FBte0001486	FBte0001486	FBte0001486	Dbif\P-element_M
FBte0001171	FBte0001171	FBte0001171	G3
FBte0000176	FBte0000176	FBte0000176	Dmir\TRIM
FBte0000918	FBte0000918	FBte0000918	opus
FBte0000304	FBte0000304	FBte0000304	Max-element
FBte0000312	FBte0000312	FBte0000312	INE-1
FBte0000136	FBte0000136	FBte0000136	Dsub\SGM
FBte0001005	FBte0001005	FBte0001005	S-element
FBte0001178	FBte0001178	FBte0001178	diver2
FBte0000267	FBte0000267	FBte0000267	Dm88
FBte0000010	FBte0000010	FBte0000010	mdg3
FBte0000739	FBte0000739	FBte0000739	Burdock
FBte0000174	FBte0000174	FBte0000174	G5A
FBte0000407	FBte0000407	FBte0000407	Dbuz\Newton
FBte0000415	FBte0000415	FBte0000415	Dvir\Paris
FBte0001208	FBte0001208	FBte0001208	TART-C
FBte0000308	FBte0000308	FBte0000308	gypsy5
FBte0001166	FBte0001166	FBte0001166	accord2
FBte0000599	FBte0000599	FBte0000599	Dmir\worf
FBte0000657	FBte0000657	FBte0000657	G-element
FBte0001062	FBte0001062	FBte0001062	gtwin
FBte0001066	FBte0001066	FBte0001066	Stalker
FBte0001174	FBte0001174	FBte0001174	transib4
FBte0000737	FBte0000737	FBte0000737	Dyak\HeT-A
FBte0000170	FBte0000170	FBte0000170	Helitron
FBte0000291	FBte0000291	FBte0000291	Dvir\U
FBte0000118	FBte0000118	FBte0000118	R1A1-element
FBte0000962	FBte0000962	FBte0000962	Ddip\Bari1
FBte0000001	FBte0000001	FBte0000001	diver
FBte0000568	FBte0000568	FBte0000568	pogo
FBte0000100	FBte0000100	FBte0000100	roo
FBte0000886	FBte0000886	FBte0000886	Dyak\TART-element
FBte0000151	FBte0000151	FBte0000151	Stalker4
FBte0000890	FBte0000890	FBte0000890	Dbuz\BuT4
FBte0000217	FBte0000217	FBte0000217	ZAM
FBte0000591	FBte0000591	FBte0000591	invader6
FBte0000764	FBte0000764	FBte0000764	gypsy9
FBte0000793	FBte0000793	FBte0000793	Dbuz\ISBu2
FBte0000948	FBte0000948	FBte0000948	Dmir\spock
FBte0000984	FBte0000984	FBte0000984	Helena
FBte0000800	FBte0000800	FBte0000800	G2
FBte0000292	FBte0000292	FBte0000292	invader4
FBte0000190	FBte0000190	FBte0000190	Dhet\Uhu
FBte0000457	FBte0000457	FBte0000457	Rt1a
FBte0000974	FBte0000974	FBte0000974	Tabor
FBte0001189	FBte0001189	FBte0001189	Dhyd\Bungy
FBte0001030	FBte0001030	FBte0001030	gypsy3
