embl_id,fb_id,source_id,flybase_name,species,te_name,te_type_gff,te_type_fasta,te_subtype_fasta
GYPSY10,FBte0000351,nnnnnnnn,Dmel\gypsy10,Dmel,gypsy10,LTR_retrotransposon,LTR,Gypsy
INVADER,FBte0000357,nnnnnnnn,Dmel\invader1,Dmel,invader1,LTR_retrotransposon,LTR,Gypsy
DMTOM1_LTR,FBte0000400,NA,Dmel\Tom1,Dmel,Tom1,LTR_retrotransposon,LTR,Gypsy
DMTHB1,FBte0000414,X01748,Dmel\HB,Dmel,HB,terminal_inverted_repeat_element,DNA,Tc1-Mariner
DMBLPP,FBte0000660,Z27119,Dmel\flea,Dmel,flea,LTR_retrotransposon,LTR,Gypsy
BS3,FBte0000420,nnnnnnnn,Dmel\BS3,Dmel,BS3,non_LTR_retrotransposon,LINE,Jockey
FB,FBte0000466,X15469,Dmel\NOF,Dmel,NOF,terminal_inverted_repeat_element,DNA,MuDR
STALKER2,FBte0000472,NA,Dmel\Stalker2,Dmel,Stalker2,LTR_retrotransposon,LTR,Gypsy
DMTRDNA,FBte0000670,X80025,Dmel\hopper,Dmel,hopper,terminal_inverted_repeat_element,DNA,Transib
DMPOGOR11,FBte0000568,X59837,Dmel\pogo,Dmel,pogo,terminal_inverted_repeat_element,DNA,Tc1-Mariner
DOC5,FBte0000791,nnnnnnnn,Dmel\Porto1,Dmel,Porto1,non_LTR_retrotransposon,LINE,Jockey
INVADER6,FBte0000591,NT_033778,Dmel\invader6,Dmel,invader6,LTR_retrotransposon,LTR,Gypsy
IVK,FBte0000608,nnnnnnnn,Dmel\Ivk,Dmel,Ivk,non_LTR_retrotransposon,LINE,I
INVADER3,FBte0000619,nnnnnnnn,Dmel\invader3,Dmel,invader3,LTR_retrotransposon,LTR,Gypsy
FW3,FBte0000636,nnnnnnnn,Dmel\Fw3,Dmel,Fw3,non_LTR_retrotransposon,LINE,Jockey
DMREPG,FBte0000657,X06950,Dmel\G-element,Dmel,G-element,non_LTR_retrotransposon,LINE,Jockey
ROXELEMENT,FBte0001160,AF237761,Dmel\X-element,Dmel,X-element,non_LTR_retrotransposon,LINE,Jockey
RT1C,FBte0000666,nnnnnnnn,Dmel\Rt1c,Dmel,Rt1c,non_LTR_retrotransposon,LINE,R1
DMIS297,FBte0000675,X03431,Dmel\297,Dmel,297,LTR_retrotransposon,LTR,Gypsy
GYPSY4,FBte0000688,nnnnnnnn,Dmel\gypsy4,Dmel,gypsy4,LTR_retrotransposon,LTR,Gypsy
